Hours,Minutes,Seconds,Declination,Sign
11,38,07.5801,79.3083420,draco
11,37,44.3511,76.3084106,draco
13,03,16.9470,76.3289108,draco
13,04,23.3937,69.3293610,draco
14,02,36.1947,69.3991165,draco
14,03,16.9333,65.3996506,draco
15,41,19.0957,65.6023483,draco
15,40,12.1512,69.6009445,draco
16,31,21.8550,69.7383041,draco
16,28,52.9698,74.7347870,draco
17,26,08.7929,74.9033127,draco
17,20,52.2971,79.8953476,draco
17,50,37.4449,79.9857483,draco
17,26,53.3353,85.9495697,draco
20,34,53.0328,86.4656219,draco
20,54,49.4097,80.4867859,draco
20,02,41.7120,80.3647766,draco
20,07,29.6155,75.3708725,draco
20,38,17.5297,75.4455261,draco
20,41,20.1635,67.4490280,draco
20,26,04.1715,67.4129562,draco
20,27,14.8482,61.9143791,draco
20,01,56.4481,61.8506203,draco
20,02,17.5830,59.8510780,draco
19,48,09.4179,59.8135414,draco
19,48,24.1329,58.3138733,draco
19,27,14.2920,58.2554703,draco
19,27,37.1023,55.7560043,draco
19,07,30.3503,55.6984482,draco
19,08,28.9554,47.6998672,draco
18,17,22.1701,47.5476036,draco
18,17,01.8453,50.5470886,draco
17,03,08.7246,50.3244438,draco
17,03,01.6383,51.3242683,draco
15,48,29.9005,51.1176796,draco
15,48,20.2737,52.6174774,draco
15,18,37.7697,52.5451736,draco
15,18,21.8531,55.0448647,draco
14,29,00.2997,54.9422379,draco
14,28,10.8609,62.4414825,draco
13,34,17.6739,62.3593979,draco
13,34,12.1293,63.3593445,draco
12,06,19.5743,63.3039627,draco
12,06,19.0213,65.8039627,draco
11,27,23.8431,65.8126068,draco
11,27,50.7287,72.8125000,draco
20,56,19.4633,2.4773185,equuleus
20,56,10.9212,6.4771614,equuleus
20,58,41.0631,6.4826641,equuleus
20,58,28.4631,12.3157644,equuleus
21,08,59.6073,12.3382607,equuleus
21,13,00.0635,12.3465548,equuleus
21,12,58.6836,13.0132008,equuleus
21,26,00.2645,13.0390635,equuleus
21,26,20.0331,2.5393796,equuleus
03,41,24.6973,0.4037257,eridanus
04,43,24.5665,0.2375014,eridanus
04,46,24.5553,0.2289162,eridanus
04,46,13.5261,-3.7708201,eridanus
05,11,13.0549,-3.8437285,eridanus
05,10,52.8075,-10.8432293,eridanus
05,00,53.2203,-10.8138046,eridanus
05,00,42.8915,-14.3135529,eridanus
04,55,43.1515,-14.2989721,eridanus
04,55,02.2311,-27.0479794,eridanus
04,47,03.1995,-27.0248775,eridanus
04,46,53.3805,-29.7746429,eridanus
04,39,54.3963,-29.7546597,eridanus
04,39,26.9701,-36.7540054,eridanus
04,20,31.1640,-36.7010231,eridanus
04,20,18.3390,-39.7007294,eridanus
03,56,25.4123,-39.6368256,eridanus
03,56,07.5275,-43.6364403,eridanus
03,29,18.4254,-43.5694046,eridanus
03,29,09.3606,-45.5692215,eridanus
03,04,21.7851,-45.5124779,eridanus
03,04,08.2833,-48.5122337,eridanus
02,44,20.4741,-48.4710045,eridanus
02,44,11.4465,-50.4708595,eridanus
02,29,21.8904,-50.4425697,eridanus
02,29,08.0031,-53.4423561,eridanus
02,14,20.1945,-53.4164696,eridanus
02,13,57.4619,-57.9161568,eridanus
01,24,49.4949,-57.8484154,eridanus
01,25,05.5830,-52.8485603,eridanus
01,39,52.1651,-52.8658562,eridanus
01,39,58.5234,-50.8659210,eridanus
01,54,46.3817,-50.8859215,eridanus
01,54,57.1975,-47.5527229,eridanus
02,24,36.7074,-47.6004944,eridanus
02,25,03.3633,-39.4342155,eridanus
03,04,44.9425,-39.5128975,eridanus
03,04,46.3973,-39.0962563,eridanus
03,34,34.6281,-39.1650963,eridanus
03,34,47.9053,-35.5820351,eridanus
03,49,43.3229,-35.6192436,eridanus
03,50,21.3363,-24.0033779,eridanus
02,44,35.7021,-23.8536034,eridanus
02,45,21.4131,-1.2210265,eridanus
03,23,20.8039,-1.3029516,eridanus
03,41,20.5397,-1.3461887,eridanus
01,45,51.8397,-23.7562580,fornax
02,44,35.7021,-23.8536034,fornax
03,50,21.3363,-24.0033779,fornax
03,49,43.3229,-35.6192436,fornax
03,34,47.9053,-35.5820351,fornax
03,34,34.6281,-39.1650963,fornax
03,04,46.3973,-39.0962563,fornax
03,04,44.9425,-39.5128975,fornax
02,25,03.3633,-39.4342155,fornax
01,45,24.1747,-39.3726234,fornax
01,45,50.1333,-24.8729095,fornax
06,25,29.4633,11.9332972,gemini
06,25,46.5402,17.4328651,gemini
06,20,16.6981,17.4495068,gemini
06,20,29.7906,21.4491768,gemini
06,00,30.0373,21.5098724,gemini
06,00,34.5690,22.8430862,gemini
06,00,53.0571,28.0092907,gemini
06,39,51.7579,27.8913116,gemini
06,40,21.6663,35.3905640,gemini
07,30,14.5725,35.2445297,gemini
07,53,09.5301,35.1810532,gemini
07,53,01.9392,33.1812286,gemini
08,07,58.3755,33.1415138,gemini
08,07,39.8327,27.6419144,gemini
08,00,41.1951,27.6602821,gemini
08,00,16.8297,19.6608200,gemini
07,55,47.4107,19.6728077,gemini
07,55,29.1853,13.1732168,gemini
07,37,00.6546,13.2238064,gemini
07,36,57.8409,12.2238722,gemini
07,06,59.5746,12.3095980,gemini
07,06,52.2911,9.8097754,gemini
